study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB32839	SAMEA7225693	ERX10611150	ERR11178264	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/064/ERR11178264/ERR11178264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/064/ERR11178264/ERR11178264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178264/35101_2#1.cram	
PRJEB32839	SAMEA7225741	ERX10611151	ERR11178265	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11178265/ERR11178265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11178265/ERR11178265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178265/35101_2#2.cram	
PRJEB32839	SAMEA7225666	ERX10611152	ERR11178266	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/066/ERR11178266/ERR11178266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/066/ERR11178266/ERR11178266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178266/35101_2#3.cram	
PRJEB32839	SAMEA7225773	ERX10611153	ERR11178267	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/067/ERR11178267/ERR11178267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/067/ERR11178267/ERR11178267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178267/35101_2#4.cram	
PRJEB32839	SAMEA7225681	ERX10611154	ERR11178268	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/068/ERR11178268/ERR11178268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/068/ERR11178268/ERR11178268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178268/35101_2#5.cram	
PRJEB32839	SAMEA7225789	ERX10611155	ERR11178269	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/069/ERR11178269/ERR11178269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/069/ERR11178269/ERR11178269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178269/35101_2#6.cram	
PRJEB32839	SAMEA7225697	ERX10611156	ERR11178270	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/070/ERR11178270/ERR11178270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/070/ERR11178270/ERR11178270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178270/35101_2#7.cram	
PRJEB32839	SAMEA7225805	ERX10611157	ERR11178271	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/071/ERR11178271/ERR11178271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/071/ERR11178271/ERR11178271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178271/35101_2#8.cram	
PRJEB32839	SAMEA7225711	ERX10611158	ERR11178272	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/072/ERR11178272/ERR11178272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/072/ERR11178272/ERR11178272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178272/35101_2#9.cram	
PRJEB32839	SAMEA7225836	ERX10611159	ERR11178273	6188	Schistosoma rodhaini	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/073/ERR11178273/ERR11178273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/073/ERR11178273/ERR11178273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178273/35101_2#10.cram	
PRJEB32839	SAMEA7225745	ERX10611160	ERR11178274	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/074/ERR11178274/ERR11178274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/074/ERR11178274/ERR11178274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178274/35101_2#11.cram	
PRJEB32839	SAMEA7225759	ERX10611161	ERR11178275	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/075/ERR11178275/ERR11178275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/075/ERR11178275/ERR11178275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178275/35101_2#12.cram	
PRJEB32839	SAMEA7225663	ERX10611162	ERR11178276	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/076/ERR11178276/ERR11178276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/076/ERR11178276/ERR11178276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178276/35101_2#13.cram	
PRJEB32839	SAMEA7225775	ERX10611163	ERR11178277	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/077/ERR11178277/ERR11178277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/077/ERR11178277/ERR11178277_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178277/35101_2#14.cram	
PRJEB32839	SAMEA7225682	ERX10611164	ERR11178278	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/078/ERR11178278/ERR11178278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/078/ERR11178278/ERR11178278_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178278/35101_2#15.cram	
