sample	stage	niche	development	sex	replicate
Mix_Eggs_R1	Eggs	Free-living	Immature	Mix	R1
Mix_Eggs_R2	Eggs	Free-living	Immature	Mix	R2
Mix_Eggs_R3	Eggs	Free-living	Immature	Mix	R3
Mix_Eggs_R4	Eggs	Free-living	Immature	Mix	R4
Mix_Eggs_R5	Eggs	Free-living	Immature	Mix	R5
Mix_Mira_R1	Miracidia	Free-living	Immature	Mix	R1
Mix_Mira_R2	Miracidia	Free-living	Immature	Mix	R2
Mix_Mira_R3	Miracidia	Free-living	Immature	Mix	R3
Mix_Mira_R4	Miracidia	Free-living	Immature	Mix	R4
Mix_Mira_R5	Miracidia	Free-living	Immature	Mix	R5
Mix_1d_R1	1d_Sporocysts	Intramolluscan	Immature	Mix	R1
Mix_1d_R2	1d_Sporocysts	Intramolluscan	Immature	Mix	R2
Mix_1d_R3	1d_Sporocysts	Intramolluscan	Immature	Mix	R3
Mix_1d_R4	1d_Sporocysts	Intramolluscan	Immature	Mix	R4
Mix_1d_R5	1d_Sporocysts	Intramolluscan	Immature	Mix	R5
Mix_5d_R1	5d_Sporocysts	Intramolluscan	Immature	Mix	R1
Mix_5d_R2	5d_Sporocysts	Intramolluscan	Immature	Mix	R2
Mix_5d_R3	5d_Sporocysts	Intramolluscan	Immature	Mix	R3
Mix_5d_R4	5d_Sporocysts	Intramolluscan	Immature	Mix	R4
Mix_5d_R5	5d_Sporocysts	Intramolluscan	Immature	Mix	R5
Mix_32d_R1	32d_Sporocysts	Intramolluscan	Immature	Mix	R1
Mix_32d_R2	32d_Sporocysts	Intramolluscan	Immature	Mix	R2
Mix_32d_R3	32d_Sporocysts	Intramolluscan	Immature	Mix	R3
Mix_32d_R4	32d_Sporocysts	Intramolluscan	Immature	Mix	R4
Mix_32d_R5	32d_Sporocysts	Intramolluscan	Immature	Mix	R5
Mix_Cerc_R1	Cercariae	Free-living	Immature	Mix	R1
Mix_Cerc_R2	Cercariae	Free-living	Immature	Mix	R2
Mix_Cerc_R3	Cercariae	Free-living	Immature	Mix	R3
Mix_Cerc_R4	Cercariae	Free-living	Immature	Mix	R4
Mix_Cerc_R5	Cercariae	Free-living	Immature	Mix	R5
Mix_2d_R1	2d_Somules	Intramammalian	Immature	Mix	R1
Mix_2d_R2	2d_Somules	Intramammalian	Immature	Mix	R2
Mix_2d_R3	2d_Somules	Intramammalian	Immature	Mix	R3
Mix_2d_R4	2d_Somules	Intramammalian	Immature	Mix	R4
Mix_2d_R5	2d_Somules	Intramammalian	Immature	Mix	R5
F_32d_R1	32d_Sporocysts	Intramolluscan	Immature	Female	R1
F_32d_R2	32d_Sporocysts	Intramolluscan	Immature	Female	R2
F_32d_R3	32d_Sporocysts	Intramolluscan	Immature	Female	R3
F_32d_R4	32d_Sporocysts	Intramolluscan	Immature	Female	R4
F_32d_R5	32d_Sporocysts	Intramolluscan	Immature	Female	R5
F_Cerc_R1	Cercariae	Free-living	Immature	Female	R1
F_Cerc_R2	Cercariae	Free-living	Immature	Female	R2
F_Cerc_R3	Cercariae	Free-living	Immature	Female	R3
F_Cerc_R4	Cercariae	Free-living	Immature	Female	R4
F_Cerc_R5	Cercariae	Free-living	Immature	Female	R5
F_2d_R1	2d_Somules	Intramammalian	Immature	Female	R1
F_2d_R2	2d_Somules	Intramammalian	Immature	Female	R2
F_2d_R3	2d_Somules	Intramammalian	Immature	Female	R3
F_2d_R4	2d_Somules	Intramammalian	Immature	Female	R4
F_2d_R5	2d_Somules	Intramammalian	Immature	Female	R5
M_32d_R1	32d_Sporocysts	Intramolluscan	Immature	Male	R1
M_32d_R2	32d_Sporocysts	Intramolluscan	Immature	Male	R2
M_32d_R3	32d_Sporocysts	Intramolluscan	Immature	Male	R3
M_32d_R4	32d_Sporocysts	Intramolluscan	Immature	Male	R4
M_32d_R5	32d_Sporocysts	Intramolluscan	Immature	Male	R5
M_Cerc_R1	Cercariae	Free-living	Immature	Male	R1
M_Cerc_R2	Cercariae	Free-living	Immature	Male	R2
M_Cerc_R3	Cercariae	Free-living	Immature	Male	R3
M_Cerc_R4	Cercariae	Free-living	Immature	Male	R4
M_Cerc_R5	Cercariae	Free-living	Immature	Male	R5
M_2d_R1	2d_Somules	Intramammalian	Immature	Male	R1
M_2d_R2	2d_Somules	Intramammalian	Immature	Male	R2
M_2d_R3	2d_Somules	Intramammalian	Immature	Male	R3
M_2d_R4	2d_Somules	Intramammalian	Immature	Male	R4
M_2d_R5	2d_Somules	Intramammalian	Immature	Male	R5
M_juv_R1	Juveniles	Intramammalian	Differentiated	Male	R1
M_juv_R2	Juveniles	Intramammalian	Differentiated	Male	R2
M_juv_R3	Juveniles	Intramammalian	Differentiated	Male	R3
M_juv_R4	Juveniles	Intramammalian	Differentiated	Male	R4
M_juv_R5	Juveniles	Intramammalian	Differentiated	Male	R5
F_juv_R1	Juveniles	Intramammalian	Differentiated	Female	R1
F_juv_R2	Juveniles	Intramammalian	Differentiated	Female	R2
F_juv_R3	Juveniles	Intramammalian	Differentiated	Female	R3
F_juv_R4	Juveniles	Intramammalian	Differentiated	Female	R4
F_juv_R5	Juveniles	Intramammalian	Differentiated	Female	R5
