Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	19.126490	6.312195	10.911881
Smp_317470	-	SM_V10_1	+	216287	251096	13.995709	10.129347	17.510586
Smp_318880	-	SM_V10_1	+	261046	277059	0.002522	0.000739	0.001278
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	471.862274	137.980331	238.526398
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	281.118927	82.195427	142.091095
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	94.383163	27.596380	47.705818
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	972.980591	284.486542	491.791412
Smp_317840	-	SM_V10_1	+	738870	742215	0.457362	0.134050	0.231731
Smp_165590	-	SM_V10_1	-	1046763	1049597	1891.965454	553.185486	956.290833
Smp_165600	-	SM_V10_1	-	1095654	1099463	12.435938	3.636102	6.285725
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.925189	0.270513	0.467635
Smp_319340	-	SM_V10_1	+	1237156	1270054	4.130990	1.211234	2.093858
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	233.260559	68.203117	117.902626
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	18.702000	5.468215	9.452895
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	10.853296	3.173359	5.485781
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.033537	0.009806	0.016951
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.001276	0.000373	0.000645
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	11.637012	3.402507	5.881908
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.001281	0.000375	0.000647
Smp_078490	-	SM_V10_1	+	2040271	2042090	127.753624	37.354290	64.574310
Smp_164480	-	SM_V10_1	-	2060458	2061423	18.643013	5.451530	9.424052
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	42.053509	12.295885	21.255877
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	2.159494	0.631407	1.091513
Smp_099150	-	SM_V10_1	-	2169363	2175657	428.880402	125.399483	216.777893
Smp_099160	-	SM_V10_1	+	2193641	2196693	730.185974	213.496658	369.071350
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.308902	0.090319	0.156134
Smp_176600	-	SM_V10_1	+	2223386	2268742	72.957146	21.332533	36.877518
Smp_099170	-	SM_V10_1	-	2275135	2281557	35.495377	10.378374	17.941080
Smp_346460	-	SM_V10_1	+	2294481	2349075	17.903158	5.234644	9.049121
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	63.519527	18.572262	32.105843
