Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	12613	13141	6.504419	0.469222	1.067168
STRG.2	-	SM_V10_1	.	14950	15747	6.633329	0.478522	1.088318
STRG.3	-	SM_V10_1	.	18698	19351	10.955318	0.790306	1.797418
STRG.4	-	SM_V10_1	.	23708	24323	5.774900	0.416596	0.947477
Smp_329140	-	SM_V10_1	-	68427	68783	0.355742	0.025663	0.058366
Smp_315690	-	SM_V10_1	-	83503	131262	3.165154	0.262047	0.595983
Smp_317470	-	SM_V10_1	+	216287	251096	2.196644	0.371694	0.845355
Smp_318880	-	SM_V10_1	+	261046	277059	0.127100	0.009169	0.020853
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.870855	0.062823	0.142880
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.018293	0.001320	0.003001
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.153384	0.011065	0.025165
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	3.396342	0.245009	0.557231
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	0.000090	0.000006	0.000015
Smp_317840	-	SM_V10_1	+	738870	742215	0.016079	0.001160	0.002638
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.041473	0.002992	0.006804
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.019685	0.001420	0.003230
Smp_319240	-	SM_V10_1	-	1210372	1214751	1.853741	0.133727	0.304140
Smp_319340	-	SM_V10_1	+	1237156	1270054	36.927143	2.688044	6.113506
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	2.727575	0.196765	0.447508
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	217.334290	15.678280	35.657627
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	16.990906	1.225707	2.787666
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.069443	0.005010	0.011393
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.049686	0.003584	0.008152
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000056	0.000004	0.000009
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000055	0.000004	0.000009
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.244467	0.017636	0.040109
Smp_164480	-	SM_V10_1	-	2060458	2061423	39.109291	2.821307	6.416590
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000063	0.000005	0.000010
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000063	0.000005	0.000010
Smp_099150	-	SM_V10_1	-	2169363	2175657	1202.412231	86.740829	197.277527
Smp_099160	-	SM_V10_1	+	2193641	2196693	4764.227051	343.686646	781.657776
Smp_099210	-	SM_V10_1	-	2207872	2223287	7.211242	0.520212	1.183135
Smp_176600	-	SM_V10_1	+	2223386	2268742	293.415802	21.166727	48.140182
Smp_099170	-	SM_V10_1	-	2275135	2281557	89.875305	6.483516	14.745672
Smp_346460	-	SM_V10_1	+	2294481	2349075	194.232437	14.011736	31.867352
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	430.643890	31.066227	70.654938
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	288.741028	20.829493	47.373199
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	182.283325	13.149739	29.906883
Smp_176640	-	SM_V10_1	+	2428451	2436071	208.207092	15.019854	34.160145
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	179.338531	12.937304	29.423737
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	213.404755	15.394809	35.012917
Smp_099300	-	SM_V10_1	+	2538098	2540123	488.833069	35.263935	80.201920
Smp_099310	-	SM_V10_1	-	2541673	2578474	412.993561	29.797958	67.770470
Smp_099320	-	SM_V10_1	+	2584928	2589579	852.722351	61.514996	139.905563
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	105.544151	7.613851	17.316431
Smp_176700	-	SM_V10_1	+	2733118	2733734	0.000001	0.000000	0.000000
Smp_323110	-	SM_V10_1	+	2742388	2743153	0.000001	0.000000	0.000000
Smp_336800	-	SM_V10_1	+	2766745	2834261	39.452213	2.846044	6.472850
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	1696.494995	122.383476	278.340759
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	291.254608	21.010818	47.785599
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.000000	0.000000	0.000000
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	287.218750	20.719677	47.123444
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	89.575394	6.461880	14.696466
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	168.243805	12.136942	27.603447
Smp_341680	-	SM_V10_1	+	3371808	3380218	135.956284	9.807752	22.306093
Smp_099570	-	SM_V10_1	-	3380279	3384824	665.912170	48.038246	109.254967
Smp_346480	-	SM_V10_1	+	3402468	3456395	160.874481	11.605326	26.394375
Smp_241990	Smp_241990	SM_V10_1	-	3460003	3465963	190.630188	13.751873	31.276339
