Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	12464	13418	11.842981	0.869699	2.115150
STRG.2	-	SM_V10_1	.	14916	15815	17.341690	1.273501	3.097217
STRG.3	-	SM_V10_1	.	18664	19594	10.620265	0.779908	1.896774
STRG.4	-	SM_V10_1	.	23674	24649	11.559537	0.848884	2.064527
STRG.5	-	SM_V10_1	.	29973	30830	21.740339	1.596519	3.882813
Smp_329140	-	SM_V10_1	-	68427	68783	0.464986	0.034147	0.083046
Smp_315690	-	SM_V10_1	-	83503	131262	321.790680	27.413010	66.669785
Smp_317470	-	SM_V10_1	+	216287	251096	223.923935	39.120934	95.144028
Smp_318880	-	SM_V10_1	+	261046	277059	1.015724	0.074760	0.181821
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.028003	0.002056	0.005001
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	4633.416504	340.300171	827.626709
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	3479.963379	255.553894	621.519592
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	2696.259277	198.001953	481.550476
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	5813.766602	426.938599	1038.335571
Smp_317840	-	SM_V10_1	+	738870	742215	0.898654	0.066325	0.161305
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.530547	0.038961	0.094755
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.301065	0.022109	0.053770
Smp_319240	-	SM_V10_1	-	1210372	1214751	2.825931	0.207525	0.504710
Smp_319340	-	SM_V10_1	+	1237156	1270054	26.805576	1.995166	4.852342
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	3611.616699	265.221954	645.032837
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	137.071640	10.065966	24.480923
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	23.611998	1.733966	4.217090
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.467792	0.034353	0.083547
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.001723	0.000127	0.000308
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	528.148010	38.784977	94.326965
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.001808	0.000133	0.000323
Smp_078490	-	SM_V10_1	+	2040271	2042090	5.238575	0.385038	0.936431
Smp_164480	-	SM_V10_1	-	2060458	2061423	17.138283	1.260867	3.066491
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	788.468140	57.901787	140.819992
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	79.810562	5.861294	14.254955
Smp_099150	-	SM_V10_1	-	2169363	2175657	2289.318359	168.120483	408.877228
Smp_099160	-	SM_V10_1	+	2193641	2196693	4283.039062	314.528381	764.948486
Smp_099210	-	SM_V10_1	-	2207872	2223287	9.824785	0.721491	1.754701
Smp_176600	-	SM_V10_1	+	2223386	2268742	452.492065	33.229118	80.814842
Smp_099170	-	SM_V10_1	-	2275135	2281557	144.151154	10.585855	25.745319
Smp_346460	-	SM_V10_1	+	2294481	2349075	103.768372	7.620314	18.532976
