Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	0.510970	0.059398	0.101447
Smp_317470	-	SM_V10_1	+	216287	251096	0.336698	0.039140	0.066847
Smp_318880	-	SM_V10_1	+	261046	277059	0.027072	0.003147	0.005375
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.000000	0.000000	0.000000
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.179767	0.020897	0.035691
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	3.880791	0.451123	0.770483
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	170.742722	19.848021	33.898849
Smp_317840	-	SM_V10_1	+	738870	742215	0.003859	0.000449	0.000766
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.154696	0.017983	0.030713
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.000000	0.000000	0.000000
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.846368	0.098386	0.168036
Smp_319340	-	SM_V10_1	+	1237156	1270054	14.234044	1.681384	2.871671
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	1.221380	0.141980	0.242490
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	100.926613	11.732234	20.037727
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	8.837360	1.027301	1.754548
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.000001	0.000000	0.000000
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.687305	0.079896	0.136456
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000292	0.000034	0.000058
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000296	0.000034	0.000059
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.000294	0.000034	0.000058
Smp_164480	-	SM_V10_1	-	2060458	2061423	8.600196	0.999786	1.707555
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000298	0.000035	0.000059
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000298	0.000035	0.000059
Smp_099150	-	SM_V10_1	-	2169363	2175657	4427.838379	514.714966	879.092529
Smp_099160	-	SM_V10_1	+	2193641	2196693	2370.813965	275.595734	470.695709
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.373994	0.043607	0.074477
Smp_176600	-	SM_V10_1	+	2223386	2268742	100.310661	11.660632	19.915438
Smp_099170	-	SM_V10_1	-	2275135	2281557	79.289513	9.217024	15.741948
Smp_346460	-	SM_V10_1	+	2294481	2349075	8.181707	0.951084	1.624377
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	93.581963	10.878453	18.579538
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	141.569016	16.456718	28.106771
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	89.614296	10.417232	17.791807
Smp_176640	-	SM_V10_1	+	2428451	2436071	49.189781	5.718076	9.766021
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	175.623993	20.415445	34.867970
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	96.395767	11.205602	19.138281
Smp_099300	-	SM_V10_1	+	2538098	2540123	203.422073	23.646839	40.386932
Smp_099310	-	SM_V10_1	-	2541673	2578474	88.162018	10.250431	17.506926
STRG.1	-	SM_V10_1	.	52134	53080	6.755390	0.785282	1.341199
STRG.2	-	SM_V10_1	.	61101	61437	16.827055	1.956064	3.340803
STRG.3	-	SM_V10_1	-	120821	123178	1.570793	0.182597	0.311861
STRG.4	-	SM_V10_1	+	224368	226726	1.556541	0.180940	0.309032
STRG.5	-	SM_V10_1	+	261046	277059	0.027072	0.003147	0.005375
STRG.6	-	SM_V10_1	.	394199	400498	89.627541	10.418771	17.794437
STRG.7	-	SM_V10_1	+	470786	471973	1.022126	0.118817	0.202930
STRG.8	-	SM_V10_1	.	475803	482180	84.562729	9.830011	16.788881
STRG.9	-	SM_V10_1	.	495786	497782	47.970688	5.576362	9.523985
STRG.10	-	SM_V10_1	.	513770	515625	45.017811	5.233104	8.937729
STRG.11	-	SM_V10_1	.	542208	542544	10.015771	1.164285	1.988507
STRG.12	-	SM_V10_1	.	599107	599308	41.636211	4.840010	8.266354
STRG.13	-	SM_V10_1	.	602796	603077	9.627248	1.119121	1.911371
STRG.14	-	SM_V10_1	.	606462	606770	5.132699	0.596652	1.019034
STRG.15	-	SM_V10_1	+	618015	625942	3.962440	0.460615	0.786693
STRG.16	-	SM_V10_1	.	682439	692884	145.363632	16.904968	28.872349
STRG.17	-	SM_V10_1	+	699420	766969	46.545212	12.835108	21.921350
STRG.18	-	SM_V10_1	.	724973	726304	6.316214	0.734288	1.254106
STRG.19	-	SM_V10_1	.	773805	776798	4.968282	0.584846	0.998871
STRG.20	-	SM_V10_1	+	1232158	1270054	13.463041	4.880262	8.335103
STRG.21	-	SM_V10_1	+	1354327	1355562	5.046456	0.586626	1.001911
STRG.22	-	SM_V10_1	-	1437906	1467773	58.279968	11.095898	18.950916
STRG.23	-	SM_V10_1	.	1477716	1479460	120.461723	14.003152	23.916277
STRG.24	-	SM_V10_1	+	1482406	1483295	14.578217	1.773857	3.029608
STRG.25	-	SM_V10_1	+	1485594	1485924	4.307621	0.500741	0.855225
STRG.26	-	SM_V10_1	.	1545739	1546171	6.933331	0.806021	1.376620
STRG.27	-	SM_V10_1	.	1556647	1559852	31.514692	3.665335	6.260103
STRG.28	-	SM_V10_1	.	1595450	1595681	7.379175	0.857848	1.465137
STRG.29	-	SM_V10_1	.	1654559	1654940	7.662111	0.890738	1.521310
STRG.30	-	SM_V10_1	.	1667089	1667315	7.842036	0.911654	1.557032
STRG.31	-	SM_V10_1	.	1676718	1677586	8.358844	0.971730	1.659638
STRG.32	-	SM_V10_1	.	1756269	1761181	79.328682	9.221632	15.749818
STRG.33	-	SM_V10_1	+	1808918	1815302	1.368013	0.159025	0.271602
STRG.34	-	SM_V10_1	-	2060458	2061423	8.600196	0.999786	1.707555
STRG.35	-	SM_V10_1	.	2062087	2062358	6.257270	0.727432	1.242396
STRG.36	-	SM_V10_1	.	2144194	2147658	10.179943	1.183424	2.021194
STRG.37	-	SM_V10_1	-	2169363	2175657	4427.838379	514.714966	879.092529
STRG.38	-	SM_V10_1	+	2193620	2196695	2327.422363	276.663269	472.518982
STRG.39	-	SM_V10_1	-	2207872	2223287	0.373994	0.043607	0.074477
STRG.40	-	SM_V10_1	+	2223386	2268742	100.310661	11.660632	19.915438
STRG.41	-	SM_V10_1	-	2275131	2281557	79.190292	15.542006	26.544519
STRG.42	-	SM_V10_1	+	2294481	2349075	8.181707	3.490529	5.961548
STRG.43	-	SM_V10_1	-	2352717	2381272	102.096970	19.596312	33.468948
STRG.44	-	SM_V10_1	+	2395950	2419786	59.461178	10.380803	17.729591
STRG.45	-	SM_V10_1	+	2428346	2436071	47.959423	13.791774	23.555260
STRG.46	-	SM_V10_1	+	2450511	2499677	106.868759	20.059963	34.260830
STRG.47	-	SM_V10_1	-	2503018	2512154	96.395767	11.205602	19.138281
STRG.48	-	SM_V10_1	.	2531541	2533971	87.088142	10.128201	17.298166
STRG.49	-	SM_V10_1	+	2538095	2540358	145.133270	22.299084	38.085072
STRG.50	-	SM_V10_1	-	2541673	2578474	88.162018	16.782822	28.663734
Smp_099320	-	SM_V10_1	+	2584928	2589579	434.050354	50.456268	86.175316
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	38.418819	4.466003	7.627580
Smp_176700	-	SM_V10_1	+	2733118	2733734	0.000019	0.000002	0.000004
Smp_323110	-	SM_V10_1	+	2742388	2743153	0.000019	0.000002	0.000004
Smp_336800	-	SM_V10_1	+	2766745	2834261	5.694116	0.661914	1.130496
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	1421.984131	165.298828	282.317322
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	79.658836	9.259957	15.815275
STRG.51	-	SM_V10_1	+	2584928	2589579	434.050354	50.456268	86.175316
STRG.52	-	SM_V10_1	-	2590041	2661618	36.890530	4.571402	7.807594
STRG.53	-	SM_V10_1	.	2690167	2691388	22.446402	2.609286	4.456455
STRG.54	-	SM_V10_1	+	2770986	2835351	4.931315	0.573242	0.979051
STRG.55	-	SM_V10_1	.	2778764	2780618	7.127225	0.828506	1.415022
STRG.56	-	SM_V10_1	-	2838392	2839954	1421.984131	165.298828	282.317322
STRG.57	-	SM_V10_1	-	2859385	2951117	77.901894	9.532990	16.281591
STRG.58	-	SM_V10_1	.	2959162	2961159	26.934856	3.131047	5.347582
STRG.59	-	SM_V10_1	.	3068074	3068304	7.137867	0.829743	1.417135
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.000000	0.000000	0.000000
STRG.60	-	SM_V10_1	.	3126930	3127671	9.822104	1.141773	1.950057
STRG.61	-	SM_V10_1	.	3130072	3131034	4.796210	0.557536	0.952228
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	163.167084	18.967388	32.394802
STRG.62	-	SM_V10_1	-	3155457	3167640	124.093155	19.499580	33.303738
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	23.523638	2.734510	4.670327
STRG.63	-	SM_V10_1	+	3177762	3187733	8.014996	0.931705	1.591278
STRG.64	-	SM_V10_1	+	3189213	3190267	1.535792	0.178528	0.304912
STRG.65	-	SM_V10_1	+	3194318	3207473	2.702361	0.314137	0.536520
STRG.66	-	SM_V10_1	+	3209000	3221390	2.293163	0.383279	0.654611
STRG.67	-	SM_V10_1	+	3221641	3308833	34.328636	3.998244	6.828684
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	22.609364	2.628230	4.488809
Smp_341680	-	SM_V10_1	+	3371808	3380218	88.329346	10.267862	17.536695
Smp_099570	-	SM_V10_1	-	3380279	3384824	484.167908	56.282192	96.125534
STRG.68	-	SM_V10_1	-	3311286	3359141	21.529724	2.649053	4.524372
STRG.69	-	SM_V10_1	+	3371670	3380401	78.921463	20.642874	35.256397
STRG.70	-	SM_V10_1	-	3380279	3384824	473.983490	60.320381	103.022438
STRG.71	-	SM_V10_1	.	3387752	3388013	7.134125	0.829308	1.416392
STRG.72	-	SM_V10_1	.	3396648	3396989	26.974874	3.135700	5.355527
