Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	0.394152	0.085492	0.158729
Smp_317470	-	SM_V10_1	+	216287	251096	0.256655	0.100024	0.185711
Smp_318880	-	SM_V10_1	+	261046	277059	0.042973	0.006373	0.011833
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	1.680446	0.249225	0.462727
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.682248	0.101184	0.187863
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	1.168814	0.173346	0.321844
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	48.252682	7.156309	13.286830
Smp_317840	-	SM_V10_1	+	738870	742215	0.003558	0.000528	0.000980
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.000000	0.000000	0.000000
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.000000	0.000000	0.000000
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.427626	0.063421	0.117751
Smp_319340	-	SM_V10_1	+	1237156	1270054	13.874586	2.077177	3.856611
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	0.653895	0.096979	0.180056
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	71.704308	10.634395	19.744452
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	4.654552	0.690312	1.281675
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.000089	0.000013	0.000025
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.000178	0.000026	0.000049
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000178	0.000026	0.000049
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000188	0.000028	0.000052
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.000188	0.000028	0.000052
Smp_164480	-	SM_V10_1	-	2060458	2061423	4.163808	0.617536	1.146555
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.286729	0.042524	0.078954
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000194	0.000029	0.000053
Smp_099150	-	SM_V10_1	-	2169363	2175657	3178.646484	471.421936	875.270142
Smp_099160	-	SM_V10_1	+	2193641	2196693	1801.180542	267.131317	495.971985
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.156136	0.023156	0.042994
Smp_176600	-	SM_V10_1	+	2223386	2268742	87.846306	13.028399	24.189304
Smp_099170	-	SM_V10_1	-	2275135	2281557	52.263462	7.751142	14.391234
