Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	46278	46728	5.181818	1.846993	3.534110
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	9.761347	4.074923	7.797120
Smp_317470	-	SM_V10_1	+	216287	251096	5.802450	5.436416	10.402253
Smp_318880	-	SM_V10_1	+	261046	277059	0.006912	0.002464	0.004715
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	190.905762	68.052399	130.214172
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	184.526184	65.772011	125.850792
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	104.561729	37.269703	71.313332
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	1063.951904	379.232147	725.637878
Smp_317840	-	SM_V10_1	+	738870	742215	0.557834	0.198867	0.380520
Smp_165590	-	SM_V10_1	-	1046763	1049597	1362.760864	485.738800	929.431885
Smp_165600	-	SM_V10_1	-	1095654	1099463	9.911788	3.532931	6.760050
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.632846	0.225570	0.431614
Smp_319340	-	SM_V10_1	+	1237156	1270054	5.222152	1.883978	3.604879
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	492.697449	175.615768	336.030151
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	22.591122	8.052319	15.407626
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	6.595346	2.350827	4.498167
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.003472	0.001238	0.002368
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.014656	0.005224	0.009996
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	45.816502	16.330708	31.247826
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.014631	0.005215	0.009979
Smp_078490	-	SM_V10_1	+	2040271	2042090	124.970802	44.544403	85.233032
Smp_164480	-	SM_V10_1	-	2060458	2061423	10.694455	3.812524	7.295035
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	78.474403	27.971205	53.521210
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	2.138681	0.762454	1.458909
Smp_099150	-	SM_V10_1	-	2169363	2175657	239.346481	85.312012	163.239395
Smp_099160	-	SM_V10_1	+	2193641	2196693	669.290771	238.560196	456.470551
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.413463	0.147374	0.281991
Smp_176600	-	SM_V10_1	+	2223386	2268742	66.616539	23.744619	45.433899
Smp_099170	-	SM_V10_1	-	2275135	2281557	33.836620	12.060635	23.077297
Smp_346460	-	SM_V10_1	+	2294481	2349075	14.368684	5.121535	9.799748
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	62.229172	22.181452	42.442871
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	70.852547	25.254492	48.322945
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	26.038748	9.281180	17.758980
Smp_176640	-	SM_V10_1	+	2428451	2436071	28.085493	10.010717	19.154905
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	19.795361	7.055805	13.500856
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	93.725159	33.407795	63.923801
Smp_099300	-	SM_V10_1	+	2538098	2540123	149.449448	53.269356	101.927696
Smp_099310	-	SM_V10_1	-	2541673	2578474	80.151878	28.569838	54.666664
Smp_099320	-	SM_V10_1	+	2584928	2589579	232.268082	82.789009	158.411774
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	19.183197	6.837606	13.083349
Smp_176700	-	SM_V10_1	+	2733118	2733734	0.014754	0.005259	0.010063
Smp_323110	-	SM_V10_1	+	2742388	2743153	0.014754	0.005259	0.010063
Smp_336800	-	SM_V10_1	+	2766745	2834261	21.852594	7.789080	14.903934
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	807.729309	287.905579	550.889954
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	53.786255	19.171427	36.683372
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.322041	0.114787	0.219639
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	92.738380	33.055416	63.249550
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	9.442099	3.365516	6.439713
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	114.121269	40.677078	77.833138
Smp_341680	-	SM_V10_1	+	3371808	3380218	33.283791	11.863585	22.700253
Smp_099570	-	SM_V10_1	-	3380279	3384824	130.452942	46.498291	88.971672
STRG.2	-	SM_V10_1	-	83476	131378	4.359003	6.372872	12.194107
STRG.3	-	SM_V10_1	+	216287	251096	5.802450	5.436416	10.402253
STRG.4	-	SM_V10_1	+	261046	277059	0.006912	0.002464	0.004715
STRG.5	-	SM_V10_1	.	388136	388651	29.799686	10.621722	20.324024
STRG.6	-	SM_V10_1	.	394247	400498	21.436583	7.640956	14.620508
STRG.7	-	SM_V10_1	-	404133	411056	190.905762	68.052399	130.214172
STRG.8	-	SM_V10_1	+	462858	472182	174.007736	62.035686	118.701546
STRG.9	-	SM_V10_1	.	475809	482180	19.396255	6.913737	13.229019
STRG.10	-	SM_V10_1	+	617998	625946	82.873283	38.863041	74.362083
STRG.11	-	SM_V10_1	+	705699	713638	1063.951904	379.232147	725.637878
STRG.12	-	SM_V10_1	+	738870	742215	0.557834	0.198867	0.380520
STRG.13	-	SM_V10_1	+	760971	767004	46.565109	16.597651	31.758604
STRG.14	-	SM_V10_1	.	816996	817359	81.477882	29.935453	57.279682
STRG.15	-	SM_V10_1	-	819228	1049783	6.811456	336.461395	643.798645
STRG.16	-	SM_V10_1	.	1069171	1076296	95.528313	34.399162	65.820724
STRG.17	-	SM_V10_1	.	1087962	1090826	8.714592	3.142748	6.013458
STRG.18	-	SM_V10_1	-	1214348	1214766	2.355868	0.840337	1.607935
STRG.19	-	SM_V10_1	+	1234784	1270054	5.330236	5.350882	10.238590
STRG.20	-	SM_V10_1	.	1283919	1285882	7.281461	2.596141	4.967560
STRG.21	-	SM_V10_1	.	1320548	1322932	65.901176	23.490393	44.947449
STRG.22	-	SM_V10_1	+	1348402	1355721	479.805847	175.663727	336.121948
STRG.23	-	SM_V10_1	-	1437763	1467771	13.941497	10.519372	20.128183
STRG.24	-	SM_V10_1	.	1477502	1479493	33.715050	12.018069	22.995852
STRG.25	-	SM_V10_1	+	1482223	1483129	9.221978	3.287205	6.289868
STRG.26	-	SM_V10_1	+	1485577	1488792	7.398527	2.765228	5.291097
STRG.27	-	SM_V10_1	.	1513533	1517948	15.702994	5.597899	10.711243
STRG.28	-	SM_V10_1	.	1556656	1559850	16.467199	5.870292	11.232450
STRG.29	-	SM_V10_1	.	1676719	1677146	10.319068	3.678868	7.039292
STRG.30	-	SM_V10_1	+	1714333	1927421	34.168831	48.643810	93.076996
STRG.31	-	SM_V10_1	+	2040271	2042090	124.970802	44.544403	85.233032
STRG.32	-	SM_V10_1	-	2060458	2061423	10.694455	3.812524	7.295035
STRG.33	-	SM_V10_1	+	2096637	2105037	60.864048	29.221640	55.913845
STRG.34	-	SM_V10_1	+	2099947	2100222	2.138681	0.762454	1.458909
STRG.35	-	SM_V10_1	.	2144194	2146946	4.861535	1.733632	3.317200
STRG.36	-	SM_V10_1	-	2169363	2175672	235.126373	85.322815	163.260056
STRG.37	-	SM_V10_1	+	2193625	2196693	660.677185	240.122833	459.460571
STRG.38	-	SM_V10_1	-	2207872	2223287	0.413463	1.060490	2.029185
STRG.39	-	SM_V10_1	+	2223386	2268742	66.616539	23.814936	45.568443
STRG.40	-	SM_V10_1	-	2275131	2281557	33.791710	21.884771	41.875191
STRG.41	-	SM_V10_1	.	2286329	2287550	14.856256	5.296128	10.133822
STRG.42	-	SM_V10_1	.	2288543	2289846	6.133665	2.187072	4.184830
STRG.43	-	SM_V10_1	.	2290864	2292143	13.426867	4.786641	9.158949
STRG.44	-	SM_V10_1	+	2294481	2349075	14.368684	19.241915	36.818241
STRG.45	-	SM_V10_1	-	2352717	2361070	62.229172	22.181452	42.442871
STRG.46	-	SM_V10_1	-	2362102	2381272	67.356430	24.750534	47.358650
STRG.47	-	SM_V10_1	+	2395939	2419786	25.088978	8.942800	17.111509
STRG.48	-	SM_V10_1	+	2428359	2436088	27.357931	24.314672	46.524658
STRG.49	-	SM_V10_1	+	2458078	2499809	18.680872	7.075886	13.539282
STRG.50	-	SM_V10_1	-	2503018	2512154	93.725159	33.407795	63.923801
STRG.51	-	SM_V10_1	.	2532020	2533962	9.337780	3.329138	6.370105
STRG.52	-	SM_V10_1	+	2538098	2540123	148.377335	53.375759	102.131287
STRG.53	-	SM_V10_1	-	2541649	2578474	77.384476	49.972504	95.619370
STRG.54	-	SM_V10_1	+	2584928	2589579	232.268082	82.789009	158.411774
STRG.55	-	SM_V10_1	-	2589572	2661591	18.173899	7.352159	14.067912
STRG.56	-	SM_V10_1	.	2690897	2691334	27.458570	9.788064	18.728868
STRG.57	-	SM_V10_1	+	2766785	2834269	22.673986	9.349970	17.890604
STRG.58	-	SM_V10_1	-	2838392	2839954	807.729309	287.905579	550.889954
STRG.59	-	SM_V10_1	-	2859385	2951117	53.677128	20.290138	38.823956
STRG.60	-	SM_V10_1	.	2959061	2961954	13.717465	4.890244	9.357186
STRG.61	-	SM_V10_1	.	2995217	2995789	21.817064	7.777242	14.881284
STRG.62	-	SM_V10_1	.	3061153	3063552	6.606935	2.355785	4.507652
STRG.63	-	SM_V10_1	.	3066290	3071570	17.765261	6.333028	12.117867
STRG.64	-	SM_V10_1	+	3086544	3087705	2.684084	0.957458	1.832038
STRG.65	-	SM_V10_1	.	3094229	3094520	5.101445	1.819172	3.480876
STRG.66	-	SM_V10_1	-	3155457	3167640	92.247002	33.187138	63.501587
STRG.67	-	SM_V10_1	+	3177778	3180142	3.042462	1.084622	2.075359
STRG.68	-	SM_V10_1	+	3207388	3215701	2.658506	0.947766	1.813493
STRG.69	-	SM_V10_1	+	3228644	3244469	3.366690	1.200189	2.296490
STRG.70	-	SM_V10_1	.	3231795	3232003	4.800558	1.711924	3.275664
STRG.71	-	SM_V10_1	+	3244661	3308861	17.409943	6.210670	11.883742
STRG.72	-	SM_V10_1	-	3311286	3359141	111.853035	40.987923	78.427910
STRG.73	-	SM_V10_1	+	3371798	3380408	31.727545	25.446825	48.690968
STRG.74	-	SM_V10_1	-	3380279	3384824	130.452942	46.498291	88.971672
Smp_346480	-	SM_V10_1	+	3402468	3456395	34.772457	12.394200	23.715555
Smp_241990	Smp_241990	SM_V10_1	-	3460003	3465963	10.780230	3.842476	7.352346
Smp_345330	Smp_345330	SM_V10_1	+	3474618	3517486	17.743322	6.324382	12.101323
STRG.75	-	SM_V10_1	+	3402468	3456404	34.739651	15.056600	28.809895
STRG.76	-	SM_V10_1	-	3460025	3465952	12.275377	4.375402	8.372068
STRG.77	-	SM_V10_1	+	3474618	3518787	13.318983	6.781507	12.976006
Smp_085010	Smp_085010	SM_V10_1	+	3593248	3601272	10.290043	4.179559	7.997333
STRG.78	-	SM_V10_1	+	3593248	3601272	10.290043	4.179559	7.997333
STRG.79	-	SM_V10_1	.	3624811	3625150	6.152767	2.193076	4.196318
Smp_103610	Smp_103610	SM_V10_1	-	3735826	3738545	156.335236	55.723713	106.623955
Smp_179960	Smp_179960	SM_V10_1	+	3755434	3755719	0.000000	0.000000	0.000000
Smp_333870	Smp_333870	SM_V10_1	+	3756269	3758636	0.000000	0.000000	0.000000
Smp_333930	Smp_333930	SM_V10_1	-	3777641	3779938	0.000062	0.000022	0.000042
Smp_333220	Smp_333220	SM_V10_1	-	3794812	3796404	0.000062	0.000022	0.000042
Smp_334070	Smp_334070	SM_V10_1	-	3807234	3807464	0.000062	0.000022	0.000042
Smp_334240	Smp_334240	SM_V10_1	-	3831754	3834036	0.000062	0.000022	0.000042
