Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	12493	13343	5.499867	0.534495	0.978712
STRG.2	-	SM_V10_1	.	14999	15714	14.518038	1.410909	2.583513
STRG.3	-	SM_V10_1	.	18747	19296	13.584765	1.320211	2.417435
STRG.4	-	SM_V10_1	.	23757	24460	6.992914	0.679594	1.244402
Smp_329140	-	SM_V10_1	-	68427	68783	5.425770	0.527294	0.965526
Smp_315690	-	SM_V10_1	-	83503	131262	201.505646	21.792976	39.905060
Smp_317470	-	SM_V10_1	+	216287	251096	134.721130	31.851524	58.323238
Smp_318880	-	SM_V10_1	+	261046	277059	1.533411	0.149022	0.272873
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000768	0.000075	0.000137
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	5775.645020	561.407227	1027.991333
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	4026.558838	391.313904	716.533752
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	3027.583984	294.230316	538.764343
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	12268.638672	1192.305664	2183.227539
Smp_317840	-	SM_V10_1	+	738870	742215	0.051462	0.005376	0.009844
Smp_165590	-	SM_V10_1	-	1046763	1049597	3.006940	0.292224	0.535091
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.439187	0.042682	0.078154
Smp_319240	-	SM_V10_1	-	1210372	1214751	1.917988	0.186396	0.341310
Smp_319340	-	SM_V10_1	+	1237156	1270054	15.996297	1.563774	2.863421
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	4937.597168	479.851959	878.655579
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	45.430599	4.415091	8.084461
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	15.261385	1.483150	2.715792
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.183253	0.017809	0.032610
Smp_311250	-	SM_V10_1	+	1806072	1815504	4.290267	0.416942	0.763461
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	642.029602	62.394493	114.250389
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.005129	0.000498	0.000913
Smp_078490	-	SM_V10_1	+	2040271	2042090	13.912436	1.352457	2.476480
Smp_164480	-	SM_V10_1	-	2060458	2061423	61.314865	5.959901	10.913159
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	1685.953003	163.846313	300.018555
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	26.329748	2.559213	4.686167
Smp_099150	-	SM_V10_1	-	2169363	2175657	1056.965454	102.719276	188.088989
Smp_099160	-	SM_V10_1	+	2193641	2196693	2785.400391	270.694122	495.667267
Smp_099210	-	SM_V10_1	-	2207872	2223287	1.656564	0.160990	0.294789
Smp_176600	-	SM_V10_1	+	2223386	2268742	317.981323	30.902445	56.585377
Smp_099170	-	SM_V10_1	-	2275135	2281557	136.032913	13.220115	24.207315
Smp_346460	-	SM_V10_1	+	2294481	2349075	56.731903	5.513388	10.095551
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	81.400627	7.910773	14.485394
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	262.559082	25.516335	46.722889
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	157.711655	15.326923	28.065088
Smp_176640	-	SM_V10_1	+	2428451	2436071	81.676292	7.937563	14.534451
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	179.757980	17.469458	31.988277
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	230.282364	22.379578	40.979183
Smp_099300	-	SM_V10_1	+	2538098	2540123	193.146637	18.771015	34.371555
Smp_099310	-	SM_V10_1	-	2541673	2578474	363.586304	35.335033	64.701874
Smp_099320	-	SM_V10_1	+	2584928	2589579	1377.836792	133.902969	245.189362
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	120.796463	11.739388	21.495960
Smp_176700	-	SM_V10_1	+	2733118	2733734	1669.392456	162.236908	297.071564
Smp_323110	-	SM_V10_1	+	2742388	2743153	15.828331	1.538651	2.817420
Smp_336800	-	SM_V10_1	+	2766745	2834261	17.350693	1.686196	3.087589
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	5880.744141	571.510498	1046.491333
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	156.525375	15.211637	27.853989
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.080294	0.007803	0.014288
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	261.749512	25.437656	46.578823
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	24.552567	2.386097	4.369176
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	257.539948	25.028557	45.829723
Smp_341680	-	SM_V10_1	+	3371808	3380218	205.653061	19.986025	36.596355
Smp_099570	-	SM_V10_1	-	3380279	3384824	904.509033	87.903091	160.959122
Smp_346480	-	SM_V10_1	+	3402468	3456395	144.227859	14.016525	25.665621
Smp_241990	Smp_241990	SM_V10_1	-	3460003	3465963	8.254925	0.802240	1.468980
Smp_345330	Smp_345330	SM_V10_1	+	3474618	3517486	54.478409	5.294386	9.694536
Smp_085010	Smp_085010	SM_V10_1	+	3593248	3601272	1.157017	0.112443	0.205893
Smp_168290	Smp_168290	SM_V10_1	+	3609310	3609645	1.346969	0.131280	0.240387
Smp_345790	Smp_345790	SM_V10_1	+	3632838	3639272	0.003974	0.000386	0.000707
Smp_103610	Smp_103610	SM_V10_1	-	3735826	3738545	0.571662	0.055556	0.101728
Smp_179960	Smp_179960	SM_V10_1	+	3755434	3755719	0.003974	0.000386	0.000707
Smp_333870	Smp_333870	SM_V10_1	+	3756269	3758636	0.004260	0.000414	0.000758
Smp_333930	Smp_333930	SM_V10_1	-	3777641	3779938	3.434180	0.333745	0.611119
Smp_333220	Smp_333220	SM_V10_1	-	3794812	3796404	0.001824	0.000177	0.000325
Smp_334070	Smp_334070	SM_V10_1	-	3807234	3807464	0.001641	0.000159	0.000292
Smp_334240	Smp_334240	SM_V10_1	-	3831754	3834036	3.362447	0.327691	0.600033
Smp_067060	Smp_067060	SM_V10_1	-	3896819	3899577	1.091787	0.106103	0.194286
Smp_344940	-	SM_V10_1	+	3951341	3954669	0.355861	0.034584	0.063326
Smp_067090	-	SM_V10_1	-	3957512	3964977	56.495899	11.208237	20.523373
Smp_158430	Smp_158430	SM_V10_1	-	3973642	3998267	238.674118	23.195116	42.472511
Smp_158440	-	SM_V10_1	-	4013009	4027327	441.580719	43.802525	80.206688
Smp_200460	-	SM_V10_1	-	4030097	4049167	29.607866	2.877387	5.268776
Smp_173020	Smp_173020	SM_V10_1	-	4065098	4098671	14.316107	1.391285	2.547579
Smp_092950	Smp_092950	SM_V10_1	-	4105302	4160070	62.074741	6.032622	11.046318
Smp_326440	-	SM_V10_1	+	4158457	4161586	14.818408	1.440100	2.636964
Smp_092930	-	SM_V10_1	+	4167888	4177847	196.436447	19.090324	34.956242
Smp_244890	Smp_244890	SM_V10_1	+	4204724	4233186	5.206450	0.505980	0.926498
