Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	15006	15711	8.265818	1.016947	2.295568
STRG.2	-	SM_V10_1	.	18754	19353	6.961541	0.856481	1.933347
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	2.449974	0.390628	0.881771
Smp_317470	-	SM_V10_1	+	216287	251096	1.595692	0.524350	1.183621
Smp_318880	-	SM_V10_1	+	261046	277059	0.035835	0.004409	0.009952
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.421617	0.051872	0.117091
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	1.052532	0.129493	0.292307
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	0.491691	0.060493	0.136552
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	1.659533	0.204173	0.460883
Smp_317840	-	SM_V10_1	+	738870	742215	0.360684	0.044375	0.100169
STRG.3	-	SM_V10_1	.	52078	52660	24.485615	3.012476	6.800101
STRG.4	-	SM_V10_1	-	83503	131262	2.847018	0.653288	1.474675
STRG.5	-	SM_V10_1	.	96933	99671	25.649681	3.155691	7.123384
STRG.6	-	SM_V10_1	.	103918	107078	45.543728	5.603264	12.648324
STRG.7	-	SM_V10_1	.	116955	118817	29.353416	3.611363	8.151979
STRG.8	-	SM_V10_1	.	187147	189165	6.527822	0.803121	1.812895
STRG.9	-	SM_V10_1	+	216287	251096	1.595692	0.524350	1.183621
STRG.10	-	SM_V10_1	.	238902	239647	6.853909	0.843239	1.903455
STRG.11	-	SM_V10_1	+	261046	277059	0.035835	0.004409	0.009952
STRG.12	-	SM_V10_1	.	283688	284055	15.021281	1.848075	4.171684
STRG.13	-	SM_V10_1	.	394268	400501	70.033920	8.616303	19.449696
STRG.14	-	SM_V10_1	-	406098	410161	1.159091	0.142603	0.321901
STRG.15	-	SM_V10_1	+	463807	472114	2.175213	0.267617	0.604096
STRG.16	-	SM_V10_1	.	465967	468489	24.963552	3.071276	6.932834
STRG.17	-	SM_V10_1	.	475798	482169	75.785164	9.323881	21.046921
STRG.18	-	SM_V10_1	.	506000	509389	5.119339	0.629834	1.421734
STRG.19	-	SM_V10_1	.	630423	630791	4.759254	0.585533	1.321732
STRG.20	-	SM_V10_1	+	709421	713176	3.649893	0.449048	1.013642
STRG.21	-	SM_V10_1	+	738870	742215	0.360684	0.044375	0.100169
STRG.22	-	SM_V10_1	.	770791	771277	8.817170	1.084780	2.448689
STRG.23	-	SM_V10_1	.	807032	807516	23.410919	2.880255	6.501639
STRG.24	-	SM_V10_1	.	838687	839288	5.362956	0.659807	1.489391
Smp_319240	-	SM_V10_1	-	1210372	1214751	1.485002	0.182700	0.412412
Smp_319340	-	SM_V10_1	+	1237156	1270054	26.083857	3.241241	7.316497
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	0.027086	0.003332	0.007522
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	142.735275	17.560783	39.640194
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	17.044483	2.096990	4.733564
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.115897	0.014259	0.032187
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.147113	0.018099	0.040856
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.001347	0.000166	0.000374
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.001345	0.000165	0.000374
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.001349	0.000166	0.000375
Smp_164480	-	SM_V10_1	-	2060458	2061423	33.956978	4.177754	9.430500
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.001433	0.000176	0.000398
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.001433	0.000176	0.000398
Smp_099150	-	SM_V10_1	-	2169363	2175657	1156.111694	142.236908	321.073303
Smp_099160	-	SM_V10_1	+	2193641	2196693	2216.816650	272.735840	615.650330
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.903197	0.111121	0.250834
Smp_176600	-	SM_V10_1	+	2223386	2268742	173.763290	21.378172	48.257236
Smp_099170	-	SM_V10_1	-	2275135	2281557	106.736565	13.131844	29.642689
Smp_346460	-	SM_V10_1	+	2294481	2349075	64.873657	7.981433	18.016598
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	165.526627	20.364811	45.969761
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	265.960388	32.721218	73.862045
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	143.749023	17.685503	39.921726
Smp_176640	-	SM_V10_1	+	2428451	2436071	108.279106	13.321623	30.071079
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	63.375099	7.797065	17.600420
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	211.683029	26.043453	58.788235
Smp_099300	-	SM_V10_1	+	2538098	2540123	244.633392	30.097349	67.939156
Smp_099310	-	SM_V10_1	-	2541673	2578474	212.124298	26.099279	58.914257
Smp_099320	-	SM_V10_1	+	2584928	2589579	742.334290	91.329697	206.159760
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	97.774719	12.029265	27.153822
Smp_176700	-	SM_V10_1	+	2733118	2733734	0.001509	0.000186	0.000419
Smp_323110	-	SM_V10_1	+	2742388	2743153	0.001509	0.000186	0.000419
Smp_336800	-	SM_V10_1	+	2766745	2834261	9.027975	1.110716	2.507233
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	1782.709717	219.327530	495.091003
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	147.053192	18.092018	40.839355
STRG.25	-	SM_V10_1	-	1213855	1214073	6.942163	0.854097	1.927965
STRG.26	-	SM_V10_1	+	1232292	1270054	27.749144	8.748587	19.748301
STRG.27	-	SM_V10_1	.	1283909	1285882	27.988710	3.443478	7.773009
STRG.28	-	SM_V10_1	.	1324401	1326711	6.076705	0.747633	1.687642
STRG.29	-	SM_V10_1	.	1424676	1435936	12.778311	1.572134	3.548800
STRG.30	-	SM_V10_1	-	1437906	1467781	93.539444	17.707170	39.970634
STRG.31	-	SM_V10_1	.	1468734	1469034	7.753968	0.953987	2.153448
STRG.32	-	SM_V10_1	.	1476526	1482183	67.845650	8.348581	18.845366
STRG.33	-	SM_V10_1	+	1484186	1488805	19.514545	2.400883	5.419547
STRG.34	-	SM_V10_1	.	1555547	1559677	52.433807	6.450967	14.561854
STRG.35	-	SM_V10_1	.	1595454	1595686	6.683663	0.822307	1.856205
STRG.36	-	SM_V10_1	.	1596067	1596353	5.388083	0.662911	1.496399
STRG.37	-	SM_V10_1	.	1665774	1666557	7.729146	0.950933	2.146554
STRG.38	-	SM_V10_1	.	1676719	1677166	43.059872	5.297688	11.958542
STRG.39	-	SM_V10_1	.	1696070	1696687	9.969080	1.226513	2.768625
STRG.40	-	SM_V10_1	.	1756270	1761375	96.229088	11.839119	26.724602
STRG.41	-	SM_V10_1	.	1809132	1809384	8.348844	1.027175	2.318656
STRG.42	-	SM_V10_1	.	1934893	1935636	8.151242	1.002864	2.263778
STRG.43	-	SM_V10_1	-	2060458	2061423	33.956978	4.177754	9.430500
STRG.44	-	SM_V10_1	.	2144194	2147792	9.715903	1.195364	2.698311
STRG.45	-	SM_V10_1	-	2169363	2175657	1156.111694	142.236908	321.073303
STRG.46	-	SM_V10_1	+	2193625	2196742	2105.108643	273.547974	617.483521
STRG.47	-	SM_V10_1	-	2207832	2223287	0.908628	0.748860	1.690412
STRG.48	-	SM_V10_1	+	2223386	2268742	173.763290	21.378172	48.257236
STRG.49	-	SM_V10_1	-	2275131	2281557	106.594376	23.770084	53.656532
STRG.50	-	SM_V10_1	+	2294481	2349340	63.930153	25.388121	57.308949
