Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	14907	15565	14.057949	1.683074	3.648262
STRG.2	-	SM_V10_1	.	18655	19296	16.945658	2.028803	4.397669
STRG.3	-	SM_V10_1	.	23665	24351	7.430732	0.889637	1.928394
Smp_329140	-	SM_V10_1	-	68427	68783	0.369748	0.044268	0.095956
Smp_315690	-	SM_V10_1	-	83503	131262	6.391925	0.925872	2.006938
Smp_317470	-	SM_V10_1	+	216287	251096	4.321229	0.820154	1.777780
Smp_318880	-	SM_V10_1	+	261046	277059	0.088617	0.010610	0.022998
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000156	0.000019	0.000040
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	1.668507	0.199760	0.433004
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	1.184939	0.141866	0.307511
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	1.909312	0.228591	0.495497
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	7.232177	0.865865	1.876866
Smp_317840	-	SM_V10_1	+	738870	742215	1.090309	0.130536	0.282953
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.227675	0.027258	0.059085
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.018828	0.002254	0.004886
Smp_319240	-	SM_V10_1	-	1210372	1214751	1.881507	0.225262	0.488281
Smp_319340	-	SM_V10_1	+	1237156	1270054	27.979198	3.406366	7.383700
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	1.011284	0.121075	0.262444
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	158.264755	18.948093	41.072227
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	14.655628	1.754631	3.803370
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.034152	0.004089	0.008863
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.874100	0.104651	0.226843
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000633	0.000076	0.000164
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000635	0.000076	0.000165
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.000632	0.000076	0.000164
Smp_164480	-	SM_V10_1	-	2060458	2061423	49.957153	5.981084	12.964706
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000666	0.000080	0.000173
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000666	0.000080	0.000173
Smp_099150	-	SM_V10_1	-	2169363	2175657	1209.301758	144.782486	313.833130
Smp_099160	-	SM_V10_1	+	2193641	2196693	2471.996338	295.957397	641.522583
Smp_099210	-	SM_V10_1	-	2207872	2223287	1.134734	0.135855	0.294482
Smp_176600	-	SM_V10_1	+	2223386	2268742	165.767288	19.846329	43.019260
Smp_099170	-	SM_V10_1	-	2275135	2281557	105.813934	12.668471	27.460407
Smp_346460	-	SM_V10_1	+	2294481	2349075	49.731979	5.954113	12.906243
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	155.795334	18.652445	40.431374
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	229.315826	27.454617	59.511120
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	151.216248	18.104219	39.243031
Smp_176640	-	SM_V10_1	+	2428451	2436071	102.282669	12.245694	26.543987
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	49.061131	5.873796	12.732146
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	270.600403	32.397373	70.225128
Smp_099300	-	SM_V10_1	+	2538098	2540123	325.104034	38.922768	84.369690
Smp_099310	-	SM_V10_1	-	2541673	2578474	217.326996	26.021450	56.404564
Smp_099320	-	SM_V10_1	+	2584928	2589579	762.020935	91.233994	197.760437
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	97.983910	11.731029	25.428391
Smp_176700	-	SM_V10_1	+	2733118	2733734	0.000925	0.000111	0.000240
Smp_323110	-	SM_V10_1	+	2742388	2743153	0.000925	0.000111	0.000240
Smp_336800	-	SM_V10_1	+	2766745	2834261	8.770728	1.050067	2.276144
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	1764.864746	211.296722	458.010590
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	132.602310	15.875684	34.412418
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.000949	0.000114	0.000246
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	203.318146	24.342070	52.764305
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	49.515968	5.928251	12.850184
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	33.092052	3.961914	8.587916
Smp_341680	-	SM_V10_1	+	3371808	3380218	173.140640	20.729097	44.932762
Smp_099570	-	SM_V10_1	-	3380279	3384824	706.928833	84.636375	183.459320
Smp_346480	-	SM_V10_1	+	3402468	3456395	80.713463	9.663342	20.946434
Smp_241990	Smp_241990	SM_V10_1	-	3460003	3465963	13.793359	1.651397	3.579597
Smp_345330	Smp_345330	SM_V10_1	+	3474618	3517486	52.180229	6.247228	13.541603
Smp_085010	Smp_085010	SM_V10_1	+	3593248	3601272	252.213028	34.029980	73.764000
Smp_168290	Smp_168290	SM_V10_1	+	3609310	3609645	0.000854	0.000102	0.000222
Smp_345790	Smp_345790	SM_V10_1	+	3632838	3639272	0.000853	0.000102	0.000221
Smp_103610	Smp_103610	SM_V10_1	-	3735826	3738545	12514.889648	1498.335327	3247.818359
Smp_179960	Smp_179960	SM_V10_1	+	3755434	3755719	0.000000	0.000000	0.000000
Smp_333870	Smp_333870	SM_V10_1	+	3756269	3758636	0.087762	0.010507	0.022776
Smp_333930	Smp_333930	SM_V10_1	-	3777641	3779938	0.050235	0.006014	0.013037
Smp_333220	Smp_333220	SM_V10_1	-	3794812	3796404	0.006836	0.000818	0.001774
Smp_334070	Smp_334070	SM_V10_1	-	3807234	3807464	0.006833	0.000818	0.001773
Smp_334240	Smp_334240	SM_V10_1	-	3831754	3834036	0.093640	0.011211	0.024301
Smp_067060	Smp_067060	SM_V10_1	-	3896819	3899577	9415.111328	1127.217163	2443.376221
Smp_344940	-	SM_V10_1	+	3951341	3954669	0.918567	0.129309	0.280292
Smp_067090	-	SM_V10_1	-	3957512	3964977	62.112648	15.039624	32.600159
Smp_158430	Smp_158430	SM_V10_1	-	3973642	3998267	156.747299	18.766420	40.678429
Smp_158440	-	SM_V10_1	-	4013009	4027327	100.113068	12.068374	26.159624
Smp_200460	-	SM_V10_1	-	4030097	4049167	1.539172	0.184276	0.399440
Smp_173020	Smp_173020	SM_V10_1	-	4065098	4098671	33.800930	4.046784	8.771882
Smp_092950	Smp_092950	SM_V10_1	-	4105302	4160070	138.761551	16.613092	36.010841
Smp_326440	-	SM_V10_1	+	4158457	4161586	22.424372	2.684736	5.819483
Smp_092930	-	SM_V10_1	+	4167888	4177847	83.013596	9.938724	21.543354
Smp_244890	Smp_244890	SM_V10_1	+	4204724	4233186	17.259716	2.736419	5.931512
Smp_244880	-	SM_V10_1	+	4246147	4252859	48.742508	5.835649	12.649460
Smp_160410	Smp_160410	SM_V10_1	-	4265476	4275954	233.732666	27.983421	60.657368
Smp_347660	-	SM_V10_1	+	4278988	4293591	493.241547	59.052868	128.004059
Smp_306440	Smp_306440	SM_V10_1	-	4296858	4341423	129.094223	15.455684	33.502018
Smp_328690	-	SM_V10_1	+	4345568	4390603	8.293683	0.992953	2.152343
Smp_213650	Smp_213650	SM_V10_1	+	4401689	4404516	393.181244	47.074886	102.040359
Smp_213640	Smp_213640	SM_V10_1	+	4406136	4413416	147.937637	17.711691	38.392178
Smp_160460	-	SM_V10_1	-	4415923	4525434	32.883652	3.936964	8.533834
STRG.4	-	SM_V10_1	.	51863	52648	19.155554	2.293380	4.971172
STRG.5	-	SM_V10_1	-	68427	69084	0.800648	0.162248	0.351691
STRG.6	-	SM_V10_1	-	83503	131262	6.849619	2.229496	4.832695
STRG.7	-	SM_V10_1	.	96995	99981	64.698570	7.745975	16.790314
STRG.8	-	SM_V10_1	.	113573	116335	6.652993	0.796524	1.726559
STRG.9	-	SM_V10_1	.	187306	189132	11.183397	1.338922	2.902271
STRG.10	-	SM_V10_1	+	216197	251096	11.049648	2.966936	6.431184
STRG.11	-	SM_V10_1	+	261046	277059	0.088617	0.010610	0.022998
STRG.12	-	SM_V10_1	.	394209	400498	73.855423	8.842270	19.166662
STRG.13	-	SM_V10_1	-	404191	405667	2.035920	0.243749	0.528354
STRG.14	-	SM_V10_1	-	405833	408251	1.063354	0.127310	0.275959
STRG.15	-	SM_V10_1	-	410108	411105	1.615239	0.193383	0.419181
STRG.16	-	SM_V10_1	.	465979	468605	16.686459	1.997770	4.330403
STRG.17	-	SM_V10_1	+	469761	472110	1.736879	0.207946	0.450748
STRG.18	-	SM_V10_1	.	475803	482212	70.219284	8.406937	18.223026
STRG.19	-	SM_V10_1	.	523967	524177	7.583337	0.907908	1.967998
STRG.20	-	SM_V10_1	+	618115	618360	5.799411	0.694329	1.505040
STRG.21	-	SM_V10_1	+	620986	624537	1.983132	0.237429	0.514655
STRG.22	-	SM_V10_1	+	703759	713645	5.336616	0.973944	2.111138
STRG.23	-	SM_V10_1	+	738870	742215	1.090309	0.130536	0.282953
STRG.24	-	SM_V10_1	.	770791	771229	26.183661	3.134814	6.795078
STRG.25	-	SM_V10_1	.	807021	807502	36.947685	4.423526	9.588514
STRG.26	-	SM_V10_1	.	945271	945690	12.392785	1.483715	3.216127
STRG.27	-	SM_V10_1	.	1117522	1118019	5.834597	0.698542	1.514172
STRG.28	-	SM_V10_1	-	1213867	1214174	6.800636	0.814200	1.764874
STRG.29	-	SM_V10_1	+	1232197	1270054	27.274834	7.388006	16.014374
STRG.30	-	SM_V10_1	.	1283909	1285882	27.808311	3.329335	7.216727
STRG.31	-	SM_V10_1	.	1424964	1435974	7.678912	0.919362	1.992827
STRG.32	-	SM_V10_1	-	1437906	1467777	104.767891	21.165956	45.879707
STRG.33	-	SM_V10_1	+	1482474	1484147	22.476191	2.690945	5.832940
STRG.34	-	SM_V10_1	+	1485597	1486208	4.028881	0.482362	1.045577
STRG.35	-	SM_V10_1	+	1488296	1488794	17.593239	2.106338	4.565736
STRG.36	-	SM_V10_1	.	1506148	1506643	7.006882	0.838909	1.818435
STRG.37	-	SM_V10_1	.	1555684	1559846	42.557442	5.095454	11.044997
STRG.38	-	SM_V10_1	.	1666187	1666557	10.480274	1.254758	2.719836
STRG.39	-	SM_V10_1	.	1676719	1677156	46.130062	5.522894	11.971525
