Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	15007	15585	6.994264	1.753309	1.541030
STRG.2	-	SM_V10_1	.	18755	19279	7.559280	1.894946	1.665518
STRG.3	-	SM_V10_1	.	23765	24323	5.523729	1.384678	1.217030
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	290.383606	84.798553	74.531693
Smp_317470	-	SM_V10_1	+	216287	251096	197.114777	128.063995	112.558838
Smp_318880	-	SM_V10_1	+	261046	277059	0.017809	0.004464	0.003924
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	3451.700684	865.412292	760.633789
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	2664.734131	667.990479	587.114563
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	286.337524	71.778549	63.088066
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	2523.293701	632.534424	555.951233
Smp_317840	-	SM_V10_1	+	738870	742215	0.004367	0.001095	0.000962
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.016491	0.004134	0.003633
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.082551	0.020694	0.018188
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.662584	0.166095	0.145986
Smp_319340	-	SM_V10_1	+	1237156	1270054	2.166983	0.577946	0.507972
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	2819.758057	706.851562	621.270569
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	9.442720	2.367083	2.080492
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	0.416133	0.104315	0.091686
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.000157	0.000039	0.000035
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.004147	0.001040	0.000914
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	105.653900	26.485178	23.278526
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.004146	0.001039	0.000913
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.924324	0.231708	0.203654
Smp_164480	-	SM_V10_1	-	2060458	2061423	3.685977	0.925569	0.813507
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	193.844376	48.592545	42.709270
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.365988	0.091805	0.080689
Smp_099150	-	SM_V10_1	-	2169363	2175657	3305.624023	828.649048	728.321655
Smp_099160	-	SM_V10_1	+	2193641	2196693	206.429092	51.747257	45.482033
Smp_099210	-	SM_V10_1	-	2207872	2223287	0.265678	0.066600	0.058536
Smp_176600	-	SM_V10_1	+	2223386	2268742	3.594534	0.901071	0.791975
STRG.4	-	SM_V10_1	-	83262	131601	116.877518	114.853882	100.948120
STRG.5	-	SM_V10_1	+	93090	93354	120.407684	30.183569	26.529139
STRG.6	-	SM_V10_1	+	216055	251296	234.799332	134.284348	118.026062
STRG.7	-	SM_V10_1	+	261046	277059	0.017809	0.004464	0.003924
STRG.8	-	SM_V10_1	.	388016	388760	5.613937	1.407586	1.237165
STRG.9	-	SM_V10_1	-	404133	411056	3451.700684	865.412292	760.633789
STRG.10	-	SM_V10_1	+	463017	472186	2834.773682	710.799194	624.740234
STRG.11	-	SM_V10_1	.	475823	476092	13.534941	3.392974	2.982175
STRG.12	-	SM_V10_1	.	616911	617513	26.741711	6.704110	5.892419
STRG.13	-	SM_V10_1	+	617998	625955	284.504913	72.522705	63.742126
STRG.14	-	SM_V10_1	.	649319	650034	9.793228	2.455451	2.158161
STRG.15	-	SM_V10_1	.	653008	653723	8.597062	2.155599	1.894613
STRG.16	-	SM_V10_1	+	705699	766971	976.690369	652.236877	573.268250
STRG.17	-	SM_V10_1	.	770791	771130	15.878100	3.981890	3.499789
STRG.18	-	SM_V10_1	.	806995	807502	9.842151	2.468811	2.169903
STRG.19	-	SM_V10_1	.	959735	959939	9.895796	2.482258	2.181722
STRG.20	-	SM_V10_1	.	1143794	1144074	5.265136	1.321453	1.161460
STRG.21	-	SM_V10_1	+	1177594	1178099	4.792058	1.201354	1.055902
STRG.22	-	SM_V10_1	+	1237114	1270054	2.230268	3.006451	2.642450
STRG.23	-	SM_V10_1	.	1335254	1336667	5.982555	1.501292	1.319526
STRG.24	-	SM_V10_1	.	1337008	1337252	11.225581	2.815604	2.474709
STRG.25	-	SM_V10_1	+	1348402	1355721	2819.758057	706.851562	621.270569
STRG.26	-	SM_V10_1	-	1437929	1467765	4.180004	4.139408	3.638235
STRG.27	-	SM_V10_1	+	1482622	1483280	1.300674	0.326110	0.286627
STRG.28	-	SM_V10_1	.	1505971	1506659	9.038479	2.267385	1.992864
STRG.29	-	SM_V10_1	.	1513416	1517184	220.192230	55.199001	48.515865
STRG.30	-	SM_V10_1	.	1760873	1761181	9.388040	2.355012	2.069882
STRG.31	-	SM_V10_1	.	1916724	1916949	4.843002	1.215670	1.068485
STRG.32	-	SM_V10_1	+	1919469	1927421	105.653900	26.485178	23.278526
STRG.33	-	SM_V10_1	+	2040720	2041782	1.924826	0.482572	0.424145
STRG.34	-	SM_V10_1	-	2060458	2061423	3.685977	0.925569	0.813507
STRG.35	-	SM_V10_1	.	2062087	2062360	5.864652	1.471777	1.293584
STRG.36	-	SM_V10_1	.	2095220	2096335	23.727779	5.949670	5.229322
STRG.37	-	SM_V10_1	+	2096670	2105161	175.151443	49.969082	43.919151
STRG.38	-	SM_V10_1	+	2099947	2100222	0.365988	0.091805	0.080689
STRG.39	-	SM_V10_1	-	2169363	2175657	3305.624023	828.649048	728.321655
STRG.40	-	SM_V10_1	+	2193639	2196695	205.801056	52.634014	46.261433
STRG.41	-	SM_V10_1	.	2204801	2205020	5.493440	1.378692	1.211769
STRG.42	-	SM_V10_1	-	2207872	2223287	0.265678	0.657982	0.578318
STRG.43	-	SM_V10_1	+	2223386	2268742	3.594534	0.901071	0.791975
Smp_099170	-	SM_V10_1	-	2275135	2281557	82.857246	20.770496	18.255739
STRG.44	-	SM_V10_1	-	2275131	2281557	82.762177	62.014149	54.505878
Smp_346460	-	SM_V10_1	+	2294481	2349075	0.932613	0.233786	0.205480
STRG.45	-	SM_V10_1	+	2328455	2348978	6.213829	1.557671	1.369078
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	3.591837	0.900395	0.791381
STRG.46	-	SM_V10_1	-	2352933	2357733	4.780849	1.428281	1.255354
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	4.454036	1.116529	0.981347
STRG.47	-	SM_V10_1	-	2362195	2369009	9.216031	2.310257	2.030546
STRG.48	-	SM_V10_1	-	2371498	2375170	3.941837	0.988132	0.868496
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	8.275099	2.074386	1.823233
Smp_176640	-	SM_V10_1	+	2428451	2436071	19.169184	4.805295	4.223501
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	29.821346	7.475558	6.570466
Smp_346470	Smp_346470	SM_V10_1	-	2503018	2512154	92.255104	23.126333	20.326347
Smp_099300	-	SM_V10_1	+	2538098	2540123	355.798431	89.190872	78.392220
Smp_099310	-	SM_V10_1	-	2541673	2578474	6.972340	1.747940	1.536311
Smp_099320	-	SM_V10_1	+	2584928	2589579	832.399292	208.664261	183.400558
Smp_305350	Smp_305350	SM_V10_1	-	2589775	2661626	0.621974	0.155915	0.137038
Smp_176700	-	SM_V10_1	+	2733118	2733734	4919.600586	1233.236084	1083.923950
Smp_323110	-	SM_V10_1	+	2742388	2743153	62.967510	15.784575	13.873482
Smp_336800	-	SM_V10_1	+	2766745	2834261	2.671799	0.669761	0.588671
Smp_087760	Smp_087760	SM_V10_1	-	2838392	2839954	14739.829102	3694.952148	3247.591309
Smp_306370	Smp_306370	SM_V10_1	-	2859388	2951117	6.864575	1.720799	1.512455
Smp_337450	-	SM_V10_1	+	3087513	3093760	0.000001	0.000000	0.000000
Smp_176760	Smp_176760	SM_V10_1	-	3155466	3167640	78.386139	19.649687	17.270630
Smp_241980	Smp_241980	SM_V10_1	+	3177719	3308862	0.365877	0.091717	0.080613
Smp_176780	Smp_176780	SM_V10_1	-	3311286	3359141	2.581990	0.647248	0.568884
Smp_341680	-	SM_V10_1	+	3371808	3380218	33.817604	8.477331	7.450951
Smp_099570	-	SM_V10_1	-	3380279	3384824	145.221191	36.445454	32.032875
STRG.49	-	SM_V10_1	+	2395992	2419786	8.281898	2.804662	2.465091
STRG.50	-	SM_V10_1	+	2428368	2436085	18.785446	10.816348	9.506775
STRG.51	-	SM_V10_1	+	2458078	2499723	29.149799	7.526700	6.615417
STRG.52	-	SM_V10_1	-	2503018	2512154	92.255104	23.126333	20.326347
STRG.53	-	SM_V10_1	.	2533355	2533897	57.481865	14.409444	12.664843
STRG.54	-	SM_V10_1	+	2538098	2540123	355.798431	89.190872	78.392220
STRG.55	-	SM_V10_1	-	2541673	2578474	6.972340	3.027291	2.660766
STRG.56	-	SM_V10_1	+	2584928	2589579	832.399292	208.664261	183.400558
STRG.57	-	SM_V10_1	-	2589725	2593655	1.274686	0.319536	0.280849
STRG.58	-	SM_V10_1	.	2644771	2645221	6.788908	1.701831	1.495784
STRG.59	-	SM_V10_1	.	2669245	2669482	324.575623	81.363998	71.512970
STRG.60	-	SM_V10_1	+	2733118	2733734	4919.600586	1240.354980	1090.180908
STRG.61	-	SM_V10_1	+	2742368	2743153	57.159870	15.592885	13.705000
STRG.62	-	SM_V10_1	.	2763856	2764556	2351.516113	589.473572	518.103943
STRG.63	-	SM_V10_1	+	2766797	2834028	3.140506	0.789056	0.693522
