Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	15041	15592	14.815001	1.723353	3.106920
STRG.2	-	SM_V10_1	.	18789	19302	17.820776	2.072999	3.737274
STRG.3	-	SM_V10_1	.	23799	24354	10.585214	1.231323	2.219872
Smp_329140	-	SM_V10_1	-	68427	68783	0.000001	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	7.007665	0.886133	1.597551
Smp_317470	-	SM_V10_1	+	216287	251096	4.741497	0.812955	1.465623
Smp_318880	-	SM_V10_1	+	261046	277059	0.008181	0.000952	0.001716
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000781	0.000091	0.000164
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.362565	0.042175	0.076035
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.119601	0.013913	0.025082
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	2.141137	0.249067	0.449027
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	2.087908	0.242876	0.437864
Smp_317840	-	SM_V10_1	+	738870	742215	0.358245	0.041673	0.075129
Smp_165590	-	SM_V10_1	-	1046763	1049597	1.298309	0.151026	0.272274
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.000885	0.000103	0.000186
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.837916	0.097470	0.175723
Smp_319340	-	SM_V10_1	+	1237156	1270054	22.835438	2.676427	4.825155
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	0.167717	0.019510	0.035173
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	157.139954	18.279284	32.954517
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	10.897478	1.267648	2.285359
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.117198	0.013633	0.024578
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.416533	0.048453	0.087353
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000514	0.000060	0.000108
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000508	0.000059	0.000107
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.000515	0.000060	0.000108
Smp_164480	-	SM_V10_1	-	2060458	2061423	29.377951	3.417393	6.160993
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000556	0.000065	0.000117
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000556	0.000065	0.000117
Smp_099150	-	SM_V10_1	-	2169363	2175657	1459.260742	169.748306	306.028076
Smp_099160	-	SM_V10_1	+	2193641	2196693	2253.665771	262.157379	472.626282
Smp_099210	-	SM_V10_1	-	2207872	2223287	1.540929	0.179248	0.323155
Smp_176600	-	SM_V10_1	+	2223386	2268742	163.522125	19.021687	34.292953
Smp_099170	-	SM_V10_1	-	2275135	2281557	123.634674	14.381785	25.927977
Smp_346460	-	SM_V10_1	+	2294481	2349075	61.150406	7.113312	12.824123
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	158.491074	18.436451	33.237869
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	226.823196	26.385178	47.568108
