Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	SM_V10_1	.	52107	52572	9.844655	1.951755	3.162578
Smp_329140	-	SM_V10_1	-	68427	68783	0.000000	0.000000	0.000000
Smp_315690	-	SM_V10_1	-	83503	131262	0.484059	0.095967	0.155503
Smp_317470	-	SM_V10_1	+	216287	251096	0.262938	0.052129	0.084468
Smp_318880	-	SM_V10_1	+	261046	277059	0.015315	0.003036	0.004920
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	0.000000	0.000000	0.000000
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.265677	0.052672	0.085348
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.000000	0.000000	0.000000
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	2.836984	0.562447	0.911376
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	246.370941	48.844353	79.146233
Smp_317840	-	SM_V10_1	+	738870	742215	0.000008	0.000002	0.000003
Smp_165590	-	SM_V10_1	-	1046763	1049597	0.000000	0.000000	0.000000
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.000000	0.000000	0.000000
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.229438	0.045487	0.073707
Smp_319340	-	SM_V10_1	+	1237156	1270054	8.423704	1.690596	2.739402
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	0.430465	0.085342	0.138286
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	58.344097	11.567028	18.742937
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	2.877887	0.570556	0.924516
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.000021	0.000004	0.000007
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.558109	0.110648	0.179292
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000092	0.000018	0.000030
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000092	0.000018	0.000030
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.000092	0.000018	0.000030
Smp_164480	-	SM_V10_1	-	2060458	2061423	3.630893	0.719876	1.166469
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000092	0.000018	0.000030
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000093	0.000018	0.000030
STRG.2	-	SM_V10_1	.	61101	61437	11.843506	2.348038	3.804705
STRG.3	-	SM_V10_1	.	208709	208940	5.471257	1.084706	1.757632
STRG.4	-	SM_V10_1	+	248442	250803	1.206077	0.239111	0.387450
STRG.5	-	SM_V10_1	+	261046	277059	0.015315	0.003036	0.004920
STRG.6	-	SM_V10_1	.	283693	284015	5.754386	1.181757	1.914892
STRG.7	-	SM_V10_1	.	394204	400498	50.024319	9.917587	16.070225
STRG.8	-	SM_V10_1	.	475803	482140	44.041889	8.731539	14.148378
STRG.9	-	SM_V10_1	.	598857	599307	20.258743	4.016404	6.508086
STRG.10	-	SM_V10_1	+	618022	619943	5.661144	1.122352	1.818632
