Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Smp_329140	-	SM_V10_1	-	68427	68783	0.000003	0.000001	0.000001
Smp_315690	-	SM_V10_1	-	83503	131262	2.291236	0.524899	1.093763
STRG.1	-	SM_V10_1	.	52112	52631	5.250224	1.029612	2.145463
STRG.2	-	SM_V10_1	-	83503	131262	1.073794	1.024466	2.134739
Smp_317470	-	SM_V10_1	+	216287	251096	1.191739	0.611588	1.274402
Smp_318880	-	SM_V10_1	+	261046	277059	0.000003	0.000001	0.000001
Smp_319020	Smp_319020	SM_V10_1	-	284128	285188	7.982547	1.565443	3.262005
Smp_349630	Smp_349630	SM_V10_1	-	404133	411056	0.128300	0.025161	0.052429
Smp_349560	Smp_349560	SM_V10_1	+	462919	472249	0.103891	0.020374	0.042454
Smp_179970	Smp_179970	SM_V10_1	+	617998	625946	0.890737	0.174681	0.363993
Smp_173350	Smp_173350	SM_V10_1	+	705699	713638	0.000006	0.000001	0.000002
Smp_317840	-	SM_V10_1	+	738870	742215	0.088466	0.017349	0.036151
STRG.3	-	SM_V10_1	+	216287	251096	1.627377	0.611588	1.274402
STRG.4	-	SM_V10_1	-	284128	285188	7.982547	1.565443	3.262005
STRG.5	-	SM_V10_1	.	394265	400479	31.984175	6.272358	13.070079
STRG.6	-	SM_V10_1	.	465966	468243	11.287684	2.213607	4.612623
STRG.7	-	SM_V10_1	.	475859	482126	31.778551	6.232033	12.986053
STRG.8	-	SM_V10_1	.	495840	499045	15.116525	2.964474	6.177248
STRG.9	-	SM_V10_1	.	513772	515664	20.643850	4.048428	8.435946
STRG.10	-	SM_V10_1	+	618112	618811	2.203541	0.432132	0.900459
STRG.11	-	SM_V10_1	+	738870	742215	0.088466	0.017349	0.036151
STRG.12	-	SM_V10_1	.	770794	771118	7.005641	1.373864	2.862801
Smp_165600	-	SM_V10_1	-	1095654	1099463	0.019678	0.003859	0.008041
Smp_319240	-	SM_V10_1	-	1210372	1214751	0.430355	0.084396	0.175861
Smp_319340	-	SM_V10_1	+	1237156	1270054	11.371455	2.253123	4.694963
Smp_350240	Smp_350240	SM_V10_1	+	1348402	1355721	0.740640	0.145246	0.302657
Smp_243170	Smp_243170	SM_V10_1	-	1437906	1467383	67.014503	13.142091	27.384943
Smp_199340	Smp_199340	SM_V10_1	+	1476492	1488843	6.127760	1.201704	2.504060
Smp_180260	-	SM_V10_1	-	1770887	1791588	0.306289	0.060066	0.125163
Smp_311250	-	SM_V10_1	+	1806072	1815504	0.000004	0.000001	0.000002
Smp_349570	Smp_349570	SM_V10_1	+	1919469	1927421	0.000004	0.000001	0.000002
Smp_242000	-	SM_V10_1	+	2036589	2036723	0.000004	0.000001	0.000002
Smp_078490	-	SM_V10_1	+	2040271	2042090	0.416187	0.081618	0.170071
Smp_164480	-	SM_V10_1	-	2060458	2061423	13.783669	2.703090	5.632586
Smp_350510	Smp_350510	SM_V10_1	+	2096696	2105037	0.000004	0.000001	0.000002
Smp_201260	Smp_201260	SM_V10_1	+	2099947	2100222	0.000004	0.000001	0.000002
Smp_099150	-	SM_V10_1	-	2169363	2175657	477.804504	93.701355	195.251007
Smp_099160	-	SM_V10_1	+	2193641	2196693	1468.589722	288.002441	600.127563
Smp_099210	-	SM_V10_1	-	2207872	2223287	2.656785	0.521017	1.085674
Smp_176600	-	SM_V10_1	+	2223386	2268742	92.324173	18.105524	37.727539
Smp_099170	-	SM_V10_1	-	2275135	2281557	28.694170	5.627160	11.725643
Smp_346460	-	SM_V10_1	+	2294481	2349075	73.923561	14.497013	30.208275
Smp_099240	Smp_099240	SM_V10_1	-	2352717	2361070	136.876740	26.842644	55.933590
Smp_176620	Smp_176620	SM_V10_1	-	2362102	2381272	99.996918	19.610210	40.862946
Smp_176630	Smp_176630	SM_V10_1	+	2395971	2419785	53.260918	10.444901	21.764648
Smp_176640	-	SM_V10_1	+	2428451	2436071	78.503021	15.395082	32.079636
Smp_176650	Smp_176650	SM_V10_1	+	2458078	2499672	66.226295	12.987516	27.062849
